^SAMPLE = GSM528851
!Sample_title = Control-22
!Sample_geo_accession = GSM528851
!Sample_status = Public on Mar 31 2010
!Sample_submission_date = Mar 30 2010
!Sample_last_update_date = Aug 12 2022
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = prefrontal cortex
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = brain region: BA46
!Sample_characteristics_ch1 = stage of illness [short doi=<5 yrs; intermediate doi=7-18yrs; long doi=>28 yrs]: intermediate duration of illness - control
!Sample_characteristics_ch1 = Sex: F
!Sample_characteristics_ch1 = age: 66
!Sample_characteristics_ch1 = tissue ph: 6.37
!Sample_characteristics_ch1 = pmi (hrs): 43
!Sample_characteristics_ch1 = type of drug: NA
!Sample_characteristics_ch1 = drug dose (chlorpromazine equivalents): NA
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Total RNA was extracted from the prefrontal cortex (Brodmann Area 46; 100 mg; left hemisphere) from all subjects as described previously (Desplats et al., 2006).  RNA quantification was determined by spectrophotometer readings, and quality by Agilent Bioanalyzer scans.  RNA integrity (RIN) numbers were not available at the time of RNA extraction, but Bioanalyzer traces of each RNA sample showed no evidence for degradation products.  RNA samples were amplified, biotin-labeled and then hybridized to the Human Genome U133 Plus 2.0 array using standard Affymetrix protocol as described in Lockhart et al, 1996.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotin-labeled
!Sample_hyb_protocol = Samples were hybridized to the Human Genome U133 Plus 2.0 array using standard Affymetrix protocol as described in Lockhart et al, 1996.
!Sample_scan_protocol = Chips were scanned using the Affymetrix ScanArray 3000 using default settings and a target intensity of 250 for scaling.
!Sample_description = ID# from Supplementary Table 3 of PMID 18778695:
!Sample_description = Ic14
!Sample_data_processing = RNA expression data from schizophrenic subjects and their matched controls were normalized using dChip (DNA-Chip Analyzer), a statistical model for the probe-level data which gives model-based estimates for gene expression indices (Li and Hung Wong 2001) and subjected to a batch adjustment normalization to allow for comparisons among all three cohorts (Johnson et al., 2007).  Data were filtered to exclude those transcripts that were not present in at least one of the RNA samples, those with redundant probeset IDs (retaining those with the highest p-value for hybridization) and those showing the lowest variation; a list of 14,438 probesets remained for statistical testing. Sample data tables include only probesets that gave a "Present" call in at least one sample.
!Sample_platform_id = GPL570
!Sample_contact_name = Elizabeth,A.,Thomas
!Sample_contact_department = Molecular Biology
!Sample_contact_institute = The Scripps Research Institute
!Sample_contact_address = 10550 N. Torrey Pines Rd
!Sample_contact_city = La Jolla
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 92037
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM528nnn/GSM528851/suppl/GSM528851.CEL.gz
!Sample_series_id = GSE21138
!Sample_data_row_count = 30061
#ID_REF = 
#VALUE = dChip normalized
!sample_table_begin
ID_REF	VALUE
AFFX-BioC-5_at	8.7582
AFFX-BioC-3_at	8.9905
AFFX-BioDn-5_at	10.0758
AFFX-DapX-5_at	8.7679
AFFX-DapX-M_at	9.7154
AFFX-DapX-3_at	9.7924
AFFX-LysX-5_at	6.0221
AFFX-LysX-M_at	6.4091
AFFX-LysX-3_at	7.4514
AFFX-PheX-5_at	6.7951
AFFX-PheX-M_at	7.4935
AFFX-PheX-3_at	7.0659
AFFX-ThrX-5_at	7.662
AFFX-ThrX-M_at	7.558
AFFX-TrpnX-5_at	3.4688
AFFX-TrpnX-M_at	3.7239
AFFX-r2-Bs-dap-5_at	8.7551
AFFX-r2-Bs-dap-M_at	9.2896
AFFX-r2-Bs-dap-3_at	9.5318
AFFX-r2-Bs-lys-5_at	5.7895
AFFX-r2-Bs-lys-M_at	6.0716
AFFX-r2-Bs-lys-3_at	6.1669
AFFX-r2-Bs-phe-5_at	6.5064
AFFX-r2-Bs-phe-M_at	6.6936
AFFX-r2-Bs-phe-3_at	7.5824
AFFX-r2-Bs-thr-3_s_at	8.1676
AFFX-r2-Bs-thr-M_s_at	8.0904
AFFX-r2-Bs-thr-5_s_at	8.033
AFFX-HUMISGF3A/M97935_5_at	5.7773
AFFX-HUMISGF3A/M97935_MB_at	7.8224
AFFX-HUMRGE/M10098_5_at	7.9944
AFFX-HUMRGE/M10098_M_at	7.3821
AFFX-HUMRGE/M10098_3_at	7.5084
AFFX-HSAC07/X00351_5_at	11.5546
AFFX-M27830_5_at	8.2721
AFFX-M27830_M_at	9.7517
AFFX-M27830_3_at	6.5508
1007_s_at	9.4318
1053_at	7.0922
117_at	4.3769
121_at	7.6407
1255_g_at	5.2235
1294_at	7.4543
1316_at	7.1668
1320_at	3.5616
1431_at	6.0593
1438_at	5.5083
1487_at	7.6795
1494_f_at	6.749
160020_at	6.5851
1729_at	6.2496
1773_at	5.7225
177_at	4.9927
179_at	6.7591
200008_s_at	9.5679
200009_at	10.541
200015_s_at	10.6044
200048_s_at	10.2432
200053_at	9.3911
200055_at	9.2326
200069_at	7.8404
200072_s_at	9.4378
200073_s_at	10.5347
200096_s_at	9.3274
200593_s_at	9.4957
200594_x_at	10.739
200597_at	8.0199
200600_at	8.2284
200604_s_at	9.833
200606_at	6.6697
200607_s_at	8.8366
200610_s_at	10.6041
200616_s_at	8.0546
200621_at	11.1057
200628_s_at	8.5546
200634_at	9.3918
200637_s_at	7.7702
200641_s_at	11.0119
200644_at	10.4151
200648_s_at	11.5778
200660_at	6.5613
200665_s_at	9.9888
200669_s_at	9.2032
200671_s_at	9.4401
200672_x_at	10.2059
200673_at	10.372
200677_at	9.5984
200678_x_at	8.0163
200679_x_at	10.5262
200680_x_at	11.6842
200685_at	7.9478
200686_s_at	10.4743
200696_s_at	9.3432
200701_at	8.7031
200704_at	8.1279
200706_s_at	7.3295
200709_at	10.3296
200722_s_at	8.4052
200727_s_at	8.6738
200729_s_at	10.5051
200730_s_at	8.4018
