,ID_REF,VALUE
0,AFFX-BioC-5_at,8.7582
1,AFFX-BioC-3_at,8.9905
2,AFFX-BioDn-5_at,10.0758
3,AFFX-DapX-5_at,8.7679
4,AFFX-DapX-M_at,9.7154
5,AFFX-DapX-3_at,9.7924
6,AFFX-LysX-5_at,6.0221
7,AFFX-LysX-M_at,6.4091
8,AFFX-LysX-3_at,7.4514
9,AFFX-PheX-5_at,6.7951
10,AFFX-PheX-M_at,7.4935
11,AFFX-PheX-3_at,7.0659
12,AFFX-ThrX-5_at,7.662
13,AFFX-ThrX-M_at,7.558
14,AFFX-TrpnX-5_at,3.4688
15,AFFX-TrpnX-M_at,3.7239
16,AFFX-r2-Bs-dap-5_at,8.7551
17,AFFX-r2-Bs-dap-M_at,9.2896
18,AFFX-r2-Bs-dap-3_at,9.5318
19,AFFX-r2-Bs-lys-5_at,5.7895
20,AFFX-r2-Bs-lys-M_at,6.0716
21,AFFX-r2-Bs-lys-3_at,6.1669
22,AFFX-r2-Bs-phe-5_at,6.5064
23,AFFX-r2-Bs-phe-M_at,6.6936
24,AFFX-r2-Bs-phe-3_at,7.5824
25,AFFX-r2-Bs-thr-3_s_at,8.1676
26,AFFX-r2-Bs-thr-M_s_at,8.0904
27,AFFX-r2-Bs-thr-5_s_at,8.033
28,AFFX-HUMISGF3A/M97935_5_at,5.7773
29,AFFX-HUMISGF3A/M97935_MB_at,7.8224
30,AFFX-HUMRGE/M10098_5_at,7.9944
31,AFFX-HUMRGE/M10098_M_at,7.3821
32,AFFX-HUMRGE/M10098_3_at,7.5084
33,AFFX-HSAC07/X00351_5_at,11.5546
34,AFFX-M27830_5_at,8.2721
35,AFFX-M27830_M_at,9.7517
36,AFFX-M27830_3_at,6.5508
37,1007_s_at,9.4318
38,1053_at,7.0922
39,117_at,4.3769
40,121_at,7.6407
41,1255_g_at,5.2235
42,1294_at,7.4543
43,1316_at,7.1668
44,1320_at,3.5616
45,1431_at,6.0593
46,1438_at,5.5083
47,1487_at,7.6795
48,1494_f_at,6.749
49,160020_at,6.5851
50,1729_at,6.2496
51,1773_at,5.7225
52,177_at,4.9927
53,179_at,6.7591
54,200008_s_at,9.5679
55,200009_at,10.541
56,200015_s_at,10.6044
57,200048_s_at,10.2432
58,200053_at,9.3911
59,200055_at,9.2326
60,200069_at,7.8404
61,200072_s_at,9.4378
62,200073_s_at,10.5347
63,200096_s_at,9.3274
64,200593_s_at,9.4957
65,200594_x_at,10.739
66,200597_at,8.0199
67,200600_at,8.2284
68,200604_s_at,9.833
69,200606_at,6.6697
70,200607_s_at,8.8366
71,200610_s_at,10.6041
72,200616_s_at,8.0546
73,200621_at,11.1057
74,200628_s_at,8.5546
75,200634_at,9.3918
76,200637_s_at,7.7702
77,200641_s_at,11.0119
78,200644_at,10.4151
79,200648_s_at,11.5778
80,200660_at,6.5613
81,200665_s_at,9.9888
82,200669_s_at,9.2032
83,200671_s_at,9.4401
84,200672_x_at,10.2059
85,200673_at,10.372
86,200677_at,9.5984
87,200678_x_at,8.0163
88,200679_x_at,10.5262
89,200680_x_at,11.6842
90,200685_at,7.9478
91,200686_s_at,10.4743
92,200696_s_at,9.3432
93,200701_at,8.7031
94,200704_at,8.1279
95,200706_s_at,7.3295
96,200709_at,10.3296
97,200722_s_at,8.4052
98,200727_s_at,8.6738
99,200729_s_at,10.5051
100,200730_s_at,8.4018
101,200731_s_at,8.3791
102,200736_s_at,10.3255
103,200739_s_at,8.0637
104,200742_s_at,8.4579
105,200743_s_at,10.0371
106,200744_s_at,9.7935
107,200753_x_at,8.7459
108,200755_s_at,7.5575
109,200758_s_at,10.0123
110,200767_s_at,6.7401
111,200769_s_at,7.5306
112,200770_s_at,4.3955
113,200771_at,6.839
114,200774_at,9.6483
115,200776_s_at,8.9268
116,200782_at,9.2919
117,200784_s_at,6.0958
118,200785_s_at,7.217
119,200791_s_at,7.4395
120,200798_x_at,7.7835
121,200799_at,10.1388
122,200800_s_at,9.7253
123,200808_s_at,7.4361
124,200813_s_at,10.1542
125,200815_s_at,8.3761
126,200821_at,9.7538
127,200824_at,9.1676
128,200825_s_at,10.4366
129,200836_s_at,7.6854
130,200838_at,9.9496
131,200841_s_at,6.7225
132,200845_s_at,10.2874
133,200848_at,10.8165
134,200849_s_at,10.9313
135,200850_s_at,11.6992
136,200857_s_at,7.9684
137,200859_x_at,6.9683
138,200860_s_at,8.799
139,200862_at,9.4579
140,200868_s_at,8.1306
141,200872_at,8.3292
142,200878_at,10.596
143,200879_s_at,5.5678
144,200885_at,8.1155
145,200890_s_at,6.5641
146,200894_s_at,7.7478
147,200897_s_at,8.7763
148,200898_s_at,8.7885
149,200900_s_at,8.5396
150,200904_at,8.8537
151,200905_x_at,9.6193
152,200906_s_at,5.0419
153,200907_s_at,7.9409
154,200914_x_at,9.1448
155,200916_at,6.6779
156,200917_s_at,6.7794
157,200920_s_at,9.3439
158,200921_s_at,8.4107
159,200923_at,7.418
160,200924_s_at,8.6516
161,200929_at,8.9718
162,200931_s_at,7.5732
163,200932_s_at,10.8131
164,200935_at,5.0706
165,200939_s_at,5.1498
166,200943_at,8.7194
167,200944_s_at,9.5574
168,200946_x_at,9.6616
169,200947_s_at,10.3142
170,200948_at,10.6081
171,200951_s_at,5.7596
172,200952_s_at,6.3182
173,200962_at,7.5616
174,200965_s_at,10.3152
175,200973_s_at,9.749
176,200974_at,8.3932
177,200976_s_at,10.7693
178,200982_s_at,9.9501
179,200986_at,7.7658
180,200997_at,8.9183
181,201001_s_at,8.0558
182,201005_at,9.5275
183,201007_at,10.1054
184,201008_s_at,9.0031
185,201009_s_at,9.1243
186,201010_s_at,9.5257
187,201011_at,9.6807
188,201012_at,7.2961
189,201014_s_at,7.214
190,201015_s_at,5.7033
191,201016_at,7.4651
192,201017_at,9.5974
193,201021_s_at,11.0199
194,201024_x_at,8.9169
195,201028_s_at,7.3096
196,201029_s_at,8.4252
197,201034_at,11.0569
198,201036_s_at,8.0442
